=== MÉTRICAS FINALES ===
Distancia recorrida (m),Distancia óptima (m),Diferencia (m),Eficiencia (%),Compensación inicial (m)
13.36,10.67,2.69,79.84,0.00

=== RUTAS POSIBLES ===
Número de Ruta,Waypoints,Distancia (m),Es Óptima
176,start -> res R -> yuca R -> cerdo R -> papa R -> helado R -> huevo R -> cashier,16.02,No
177,start -> cerdo R -> helado R -> huevo R -> papa R -> yuca R -> res R -> cashier,16.03,No
178,start -> helado R -> yuca R -> papa R -> huevo R -> cerdo R -> res R -> cashier,16.03,No
179,start -> helado R -> res R -> cerdo R -> huevo R -> papa R -> yuca R -> cashier,16.04,No
180,start -> huevo R -> cerdo R -> res R -> helado R -> papa R -> yuca R -> cashier,16.05,No
181,start -> yuca R -> papa R -> res R -> huevo R -> cerdo R -> helado R -> cashier,16.07,No
182,start -> cerdo R -> huevo R -> helado R -> res R -> yuca R -> papa R -> cashier,16.08,No
183,start -> helado R -> huevo R -> cerdo R -> yuca R -> res R -> papa R -> cashier,16.09,No
184,start -> huevo R -> papa R -> yuca R -> helado R -> cerdo R -> res R -> cashier,16.12,No
185,start -> helado R -> cerdo R -> huevo R -> yuca R -> papa R -> res R -> cashier,16.14,No
186,start -> papa R -> yuca R -> res R -> helado R -> huevo R -> cerdo R -> cashier,16.15,No
187,start -> yuca R -> cerdo R -> papa R -> res R -> helado R -> huevo R -> cashier,16.16,No
188,start -> papa R -> huevo R -> cerdo R -> yuca R -> res R -> helado R -> cashier,16.16,No
189,start -> huevo R -> cerdo R -> res R -> helado R -> yuca R -> papa R -> cashier,16.17,No
190,start -> helado R -> huevo R -> papa R -> res R -> yuca R -> cerdo R -> cashier,16.18,No
191,start -> huevo R -> helado R -> cerdo R -> yuca R -> res R -> papa R -> cashier,16.18,No
192,start -> res R -> helado R -> cerdo R -> papa R -> yuca R -> huevo R -> cashier,16.19,No
193,start -> huevo R -> helado R -> papa R -> res R -> yuca R -> cerdo R -> cashier,16.19,No
194,start -> huevo R -> papa R -> yuca R -> helado R -> res R -> cerdo R -> cashier,16.25,No
195,start -> helado R -> papa R -> cerdo R -> res R -> yuca R -> huevo R -> cashier,16.26,No
196,start -> yuca R -> papa R -> res R -> cerdo R -> helado R -> huevo R -> cashier,16.26,No
197,start -> helado R -> cerdo R -> huevo R -> res R -> yuca R -> papa R -> cashier,16.27,No
198,start -> helado R -> res R -> papa R -> yuca R -> huevo R -> cerdo R -> cashier,16.27,No
199,start -> helado R -> papa R -> yuca R -> res R -> huevo R -> cerdo R -> cashier,16.28,No
200,start -> papa R -> cerdo R -> huevo R -> res R -> yuca R -> helado R -> cashier,16.29,No
